activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007013800,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,3,0,2,1,2,1,2,2,2,15000.0,,,,3,,,,,,180,,,2,2,2,2,,1,1,3,5,1,,40.0,30%-<36%,2,10,3,,,,,5,,,,,3,4,6,,,,,8,,,,,3,4,1,5,3,4,45-54,9999,No,,1,1,6,,,,,9,,,,3463,21.31,88700,86,1116,1508,74
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007013000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,3,0,2,1,2,1,2,1,2,105000.0,,,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1,,73.0,47,2,10,2,,,,,5,,,,,2,4,2,,,,,8,,,,,2,4,1,5,1,4,55-64,9999,Yes,,1,1,6,,,,,3,1.0,,,4218,13.8,88700,156,1499,1804,62
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007001800,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Male,3,0,2,1,2,2,2,2,2,135000.0,151.0,,,3,,,,,,180,,,2,2,2,2,145000.0,1,1,3,5,1,,92.0,30%-<36%,2,10,1,,,,,5,,,,,3,4,6,,,,,8,,,,,3,4,1,5,3,4,35-44,9999,No,,1,1,6,,,,,3,,,,4092,39.25,88700,54,667,1543,73
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007012101,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Joint,White,Joint,1,0,2,1,32,2,2,2,2,85000.0,85.0,7.75,1.19,2,658.0,,0.0,,,180,,,2,2,2,2,255000.0,1,1,3,5,1,,140.0,30%-<36%,2,2,2,,,,,1,12.0,,,,2,2,5,,,,,6,,,,,2,2,2,1,2,2,35-44,45-54,No,No,1,1,6,,,,,10,,,,3732,7.26,88700,125,1193,1505,47
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007012900,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,2,2,2,1,2,135000.0,,,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1,,48.0,>60%,2,10,2,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,1,5,1,4,25-34,9999,No,,1,1,6,,,,,1,,,,1272,8.41,88700,117,405,602,29
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007013600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,32,1,2,1,2,105000.0,80.0,8.25,0.09,2,,,,,,360,,,2,2,2,2,135000.0,1,1,3,5,1,,96.0,30%-<36%,2,10,3,,,,,5,,,,,3,4,6,,,,,8,,,,,3,4,3,5,3,4,55-64,9999,Yes,,1,1,6,,,,,10,,,,3928,24.82,88700,84,721,1330,0
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007001500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,1,2,1,1,1,2,2,2,125000.0,90.0,6.0,0.121,2,3314.0,,822.0,,,180,,,2,2,2,2,145000.0,1,1,3,5,1,,67.0,38,1,10,3,,,,,5,,,,,3,4,6,,,,,8,,,,,3,4,3,5,3,4,45-54,9999,No,,1,1,1,,,,,10,,,,4530,21.43,88700,138,1348,1951,0
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007014301,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,2,2,2,1,2,305000.0,,,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1,,168.0,>60%,2,10,2,,,,,5,,,,,3,4,5,,,,,8,,,,,3,4,1,5,3,4,45-54,9999,No,,1,1,6,,,,,1,,,,5382,34.5,88700,134,1373,1749,48
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007013202,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,2,2,2,2,2,25000.0,,,,3,,,,,,180,,,2,2,2,2,,1,1,3,5,1,,36.0,>60%,2,2,2,,,,,2,,,,,1,1,5,,,,,5,,,,,1,1,1,2,1,1,45-54,35-44,No,No,1,1,6,,,,,1,,,,3186,12.49,88700,138,1052,1385,54
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007010200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Sex Not Available,3,0,2,1,1,1,2,2,2,125000.0,,,,3,,,,,,360,,120.0,2,2,2,2,,1,1,3,5,1,,96.0,20%-<30%,3,10,2,,,,,5,,,,,3,4,6,,,,,8,,,,,3,4,3,5,3,4,25-34,9999,No,,1,1,6,,,,,3,,,,5168,7.59,88700,97,1990,2270,54
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007013000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,2,1,1,1,2,2,2,175000.0,80.0,6.25,-0.086,2,4424.0,,1759.0,,,240,,,2,2,2,2,225000.0,1,1,3,5,1,,147.0,<20%,3,1,2,,,,,2,,,,,3,3,5,,,,,5,,,,,3,3,2,2,3,3,25-34,<25,No,No,1,1,1,,,,,10,,,,4218,13.8,88700,156,1499,1804,62
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007012102,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,1,2,55000.0,94.0,8.25,0.1,2,,,,,,360,,,2,2,2,2,155000.0,1,1,3,5,1,,110.0,30%-<36%,2,2,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,35-44,45-54,No,No,1,1,6,,,,,10,,,,3953,9.39,88700,121,1299,1507,59
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007014302,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,32,2,2,1,2,115000.0,66.0,8.25,0.1,2,,,,,,360,,,2,2,2,2,315000.0,1,1,3,5,1,,150.0,38,2,10,2,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,2,5,1,4,45-54,9999,No,,1,1,6,,,,,10,,,,10881,38.55,88700,128,660,799,51
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007014600,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,2,2,2,1,2,45000.0,77.0,8.25,0.1,2,,,,,,360,,,2,2,2,2,265000.0,1,1,3,5,1,,76.0,44,2,10,3,,,,,5,,,,,3,4,6,,,,,8,,,,,3,4,3,5,3,4,55-64,9999,No,,1,1,6,,,,,10,,,,5151,12.44,88700,129,2086,2410,49
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007013304,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Male,1,0,2,1,2,1,2,1,2,105000.0,52.0,8.25,0.1,2,,,,,,360,,,2,2,2,2,195000.0,1,1,3,5,1,,95.0,45,2,10,2,,,,,5,,,,,1,4,6,,,,,8,,,,,3,4,1,5,1,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,5951,12.6,88700,162,1968,2469,41
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007012103,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,3,0,2,1,2,2,2,1,2,35000.0,,,,3,,,,,,180,,,2,2,2,2,,1,1,3,5,1,,50.0,>60%,2,10,3,,,,,5,,,,,3,4,6,,,,,8,,,,,3,4,1,5,3,4,>74,9999,Yes,,1,1,6,,,,,3,1.0,,,3274,10.17,88700,104,946,1256,57
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007013000,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,32,2,2,1,2,35000.0,,,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1,,93.0,40,2,10,3,,,,,5,,,,,3,4,6,,,,,8,,,,,3,4,3,5,3,4,45-54,9999,No,,1,1,6,,,,,3,,,,4218,13.8,88700,156,1499,1804,62
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007000900,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,2,1,2,2,2,25000.0,,,,3,,,,,,180,,,2,2,2,2,,1,1,3,5,1,,71.0,<20%,2,10,3,,,,,5,,,,,3,4,6,,,,,8,,,,,3,4,3,5,3,4,45-54,9999,No,,1,1,6,,,,,9,,,,1717,36.23,88700,49,246,808,61
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007014301,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,1,2,175000.0,98.0,8.25,0.08,2,,,,,,360,,,2,2,2,2,845000.0,1,1,3,5,1,,253.0,39,2,2,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,1,6,,,,,10,,,,5382,34.5,88700,134,1373,1749,48
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007014302,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,1,2,85000.0,92.0,8.25,0.08,2,,,,,,360,,,2,2,2,2,375000.0,1,1,3,5,1,,194.0,39,2,2,2,,,,,2,,,,,1,1,5,,,,,5,,,,,1,1,1,2,1,1,45-54,45-54,No,No,1,1,6,,,,,10,,,,10881,38.55,88700,128,660,799,51
